날짜,요일,역번호,역명,구분,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24,24~
2020-01-01,2,223,교대(법원.검찰청),하차,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-01-01,2,224,서초,승차,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,224,서초,하차,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,225,방배,승차,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,225,방배,하차,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,226,사당,승차,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,226,사당,하차,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2020-01-01,2,227,낙성대,승차,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,227,낙성대,하차,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,228,서울대입구(관악구청),승차,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,228,서울대입구(관악구청),하차,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563
2020-01-01,2,229,봉천,승차,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,229,봉천,하차,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
2020-01-01,2,230,신림,승차,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,230,신림,하차,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2020-01-01,2,231,신대방,승차,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2020-01-01,2,231,신대방,하차,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2020-01-01,2,232,구로디지털단지,승차,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-01-01,2,232,구로디지털단지,하차,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-01-01,2,233,대림(구로구청),승차,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-01-01,2,233,대림(구로구청),하차,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2020-01-01,2,234,신도림,승차,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
2020-01-01,2,234,신도림,하차,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295
2020-01-01,2,235,문래,승차,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,235,문래,하차,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2020-01-01,2,236,영등포구청,승차,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2020-01-01,2,236,영등포구청,하차,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2020-01-01,2,237,당산,승차,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,237,당산,하차,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2020-01-01,2,238,합정,승차,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,238,합정,하차,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
2020-01-01,2,239,홍대입구,승차,5428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2020-01-01,2,239,홍대입구,하차,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491
2020-01-01,2,240,신촌,승차,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
